model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
large_aggregator_maturity_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only,-0.0836489443599324,0.034874440708886255,0.016459027750365587,-0.152001592130327,-0.015296296589537836,14514,97,30,0.7729040785169848,0.7697147073446758,all,large_aggregator_maturity,True,unlock_fee_ge_1_00:FreeNow only,-0.084*,negative
large_aggregator_maturity_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only:mature_366_plus,0.1973536721178746,0.05767976924292529,0.0006226742805131448,0.0843034017651599,0.31040394247058933,14514,97,30,0.7729040785169848,0.7697147073446758,all,large_aggregator_maturity,True,unlock_fee_ge_1_00:FreeNow only:mature_366_plus,0.197***,positive
large_aggregator_maturity_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only:mature_366_plus,0.08255402403326532,0.017242381719348568,1.6857334632443628e-06,0.04875957685565032,0.11634847121088032,14514,97,30,0.9009757838934944,0.8991906251154801,all,large_aggregator_maturity,True,unlock_fee_ge_1_00:FreeNow only:mature_366_plus,0.083***,positive
large_aggregator_maturity_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only,-0.07426931926529902,0.03234997348340686,0.021686877135017636,-0.1376741021936022,-0.010864536336995814,14514,97,30,0.77712335657775,0.773993241616328,all,large_aggregator_maturity,True,unlock_fee_ge_1_20:FreeNow only,-0.074*,negative
large_aggregator_maturity_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only:mature_366_plus,0.2276197354950804,0.059620097046392484,0.00013462752545620932,0.1107664925293683,0.3444729784607925,14514,97,30,0.77712335657775,0.773993241616328,all,large_aggregator_maturity,True,unlock_fee_ge_1_20:FreeNow only:mature_366_plus,0.228***,positive
large_aggregator_maturity_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only:mature_366_plus,0.07377482808900304,0.01825455651908142,5.312232111406241e-05,0.03799655475785261,0.10955310142015348,14514,97,30,0.9009393830671232,0.8991535680733136,all,large_aggregator_maturity,True,unlock_fee_ge_1_20:FreeNow only:mature_366_plus,0.074***,positive
large_aggregator_maturity_unlock_fee_ge_1_00_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only:mature_366_plus,0.08261123867820264,0.017460956680063203,2.231989758067775e-06,0.04838839244966469,0.11683408490674058,13768,92,30,0.9032732923020517,0.9014697310486383,no_weak_exposure,large_aggregator_maturity,True,unlock_fee_ge_1_00:FreeNow only:mature_366_plus,0.083***,positive
large_aggregator_maturity_unlock_fee_ge_1_20_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only:mature_366_plus,0.1395883141735854,0.05336685710508276,0.008906124252154382,0.034991196279527695,0.2441854320676431,13768,92,30,0.8174304727854621,0.8147254399850697,no_weak_exposure,large_aggregator_maturity,True,unlock_fee_ge_1_20:FreeNow only:mature_366_plus,0.140**,positive
large_aggregator_maturity_unlock_fee_ge_1_20_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only:mature_366_plus,0.07378261529415406,0.018465625124887794,6.451049823227533e-05,0.03759065509735605,0.10997457549095208,13768,92,30,0.9032357327129716,0.9014314711253778,no_weak_exposure,large_aggregator_maturity,True,unlock_fee_ge_1_20:FreeNow only:mature_366_plus,0.074***,positive
large_aggregator_maturity_unlock_fee_ge_1_00_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only:mature_366_plus,0.08555919189957506,0.01766334221187058,1.2732488013841428e-06,0.05093967731770267,0.12017870648144745,11149,75,30,0.883682876767391,0.8811781096126523,scooter_only,large_aggregator_maturity,True,unlock_fee_ge_1_00:FreeNow only:mature_366_plus,0.086***,positive
large_aggregator_maturity_unlock_fee_ge_1_20_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only:mature_366_plus,0.07701538299048646,0.01863773881657524,3.5926405520123606e-05,0.040486086156734824,0.1135446798242381,11149,75,30,0.8836269836408301,0.8811210128862801,scooter_only,large_aggregator_maturity,True,unlock_fee_ge_1_20:FreeNow only:mature_366_plus,0.077***,positive
